���Domain Code,Domain,AreaCode,AreaName,ElementCode,ElementName,ItemCode,ItemName,Year,Value,Flag,FlagD
QC,Crops,5000,World,5510,Production,671,Mat̩,1963,267051,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1964,279770,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1965,266325,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1966,262834,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1967,235460,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1968,235672,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1969,220935,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1970,245890,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1971,234665,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1972,249961,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1973,248483,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1974,227204,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1975,253159,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1976,258833,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1977,264911,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1978,243557,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1979,253051,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1980,269817,A,"Aggregate, may include official, semi-official, estimated or calculated data"
QC,Crops,5000,World,5510,Production,671,Mat̩,1981,276623,A,"Aggregate, may include official, semi-official, estimated or calculated data"
